Name,Critic_Score,Developer
FIFA Soccer 2005,81,EA Canada
Tony Hawk's Pro Skater 4,94,Neversoft Entertainment
MySims,67,TOSE
Midnight Club 3: DUB Edition,74,Rockstar Leeds
SOCOM: U.S. Navy SEALs,82,Zipper Interactive
Jak and Daxter: The Precursor Legacy,90,Naughty Dog
Pro Evolution Soccer 2008,82,Konami
Resident Evil 4,96,Capcom
Guitar Hero: World Tour,86,Vicarious Visions
FIFA Soccer 10,91,EA Sports
Star Wars: Battlefront,82,Pandemic Studios
The Simpsons: Road Rage,64,Fox Interactive
Luigi's Mansion,78,Nintendo
Battlefield 4,85,EA DICE
Star Wars: Battlefront II,84,Pandemic Studios
Cooking Mama 2: Dinner With Friends,70,Office Create
Grand Theft Auto: Liberty City Stories,78,Rockstar Leeds
The Getaway,72,Team Soho
James Bond 007: Agent Under Fire,72,EA Redwood Shores
FIFA Soccer 11,88,EA Sports
Left 4 Dead,89,Certain Affinity
Assassin's Creed: Unity,72,"Ubisoft, Ubisoft Montreal"
Resident Evil 5,83,Capcom
Assassin's Creed: Brotherhood,89,Ubisoft Montreal
FIFA Soccer 2004,84,EA Canada
Battlefield 4,80,EA DICE
Batman: Arkham Asylum,92,Rocksteady Studios
Battlefield 4,79,EA DICE
Battlefield: Bad Company 2,88,EA DICE
Guitar Hero: On Tour,71,Vicarious Visions
Clubhouse Games,83,Agenda
Borderlands,84,Gearbox Software
Tekken 4,79,Namco
Grand Theft Auto 2,70,DMA Design
Metal Gear Solid V: The Phantom Pain,93,"Kojima Productions, Moby Dick Studio"
Spider-Man 2,80,Treyarch
FIFA Soccer 2003,88,EA Canada
LittleBigPlanet 2,91,Media Molecule
Crash Bash,68,Eurocom Entertainment Software
Assassin's Creed Syndicate,76,Ubisoft Quebec
LEGO Batman: The Videogame,76,Traveller's Tales
Destiny,75,"Bungie Software, Bungie"
Far Cry 3,90,Ubisoft Montreal
James Bond 007: Nightfire,77,Eurocom Entertainment Software
Star Wars Episode III: Revenge of the Sith,60,Double Helix Games
The Legend of Zelda: Spirit Tracks,87,Nintendo
Max Payne,80,Rockstar Toronto
Assassin's Creed IV: Black Flag,86,Ubisoft
The Lord of the Rings: The Return of the King,85,EA Games
Gears of War: Ultimate Edition,82,"Splash Damage, The Coalition"
True Crime: Streets of LA,77,"Luxoflux, Inc."
Professor Layton and the Unwound Future,86,Level 5
FIFA 16,84,EA Sports
Wii Music,63,Nintendo
Madden NFL 16,83,EA Sports
Gran Turismo 6,81,Polyphony Digital
Halo: The Master Chief Collection,85,343 Industries
Super Mario Maker,88,Nintendo
God of War: Chains of Olympus,91,Ready at Dawn
Enter the Matrix,62,Shiny Entertainment
Crisis Core: Final Fantasy VII,83,Square Enix
Dance Central,82,Harmonix Music Systems
L.A. Noire,89,Team Bondi
Ace Combat 04: Shattered Skies,89,Namco
Animal Crossing,87,Nintendo
FIFA Soccer 08,83,EA Canada
Spider-Man,87,Neversoft Entertainment
Mario Party 9,73,Nd Cube
Sonic Rush,82,"Dimps Corporation, Sonic Team"
Rhythm Heaven,83,Nintendo
Fallout: New Vegas,82,Obsidian Entertainment
Personal Trainer: Cooking,81,Indies Zero
The Elder Scrolls IV: Oblivion,93,4J Studios
The Legend of Zelda: A Link Between Worlds,91,Nintendo
Resident Evil 6,74,Capcom
Mass Effect 2,96,BioWare
Dragon Ball Z: Budokai,67,Dimps Corporation
Madden NFL 2002,94,EA Sports
The Sims: Vacation,75,Maxis
LEGO Batman: The Videogame,74,Traveller's Tales
Animal Crossing: Happy Home Designer,66,Nintendo
The Sims 4,70,Maxis
Borderlands 2,89,Gearbox Software
LEGO Batman: The Videogame,72,TT Fusion
Kung Fu Panda,75,"Luxoflux, Inc."
Mass Effect 3,93,BioWare
Heavy Rain,87,Quantic Dream
Saints Row 2,81,Volition Inc.
Tom Clancy's Splinter Cell,93,Ubisoft Montreal
FIFA 14,87,EA Canada
Killzone 2,91,Guerrilla
Far Cry 3,91,Ubisoft Montreal
Epic Mickey,73,Junction Point
NBA 2K13,88,Visual Concepts
Dragon Ball Z: Budokai Tenkaichi 3,73,"Spike, Namco Bandai Games"
The Sims: Livin Large,82,Maxis
World Soccer Winning Eleven 6 International,93,KCET
Devil May Cry,94,Capcom
Star Wars: The Old Republic,85,"LucasArts, BioWare"
Middle-Earth: Shadow of Mordor,84,Monolith Productions
Sonic Heroes,64,Sonic Team
Hitman 2: Silent Assassin,85,Io Interactive
Titanfall,86,Respawn Entertainment
Battlefield: Bad Company 2,88,EA DICE
SOCOM II: U.S. Navy SEALs,87,Zipper Interactive
Pac-Man Collection,79,Mass Media
Street Fighter IV,93,Capcom
inFAMOUS,85,Sucker Punch
Kirby Super Star Ultra,76,HAL Labs
Call of Duty: Ghosts,78,Infinity Ward
Mass Effect,91,BioWare
Sonic Mega Collection Plus,73,Sonic Team
World Soccer Winning Eleven 7 International,93,KCET
Sega Superstars Tennis,67,Sumo Digital
Hot Shots Golf 3,85,Clap Hanz
Cooking Mama: Cook Off,61,OfficeCreate
Call of Duty: Finest Hour,76,Spark Unlimited
WarioWare: Smooth Moves,83,Intelligent Systems
Madden NFL 13,81,EA Tiburon
The Elder Scrolls III: Morrowind,87,Bethesda Softworks
Assassin's Creed IV: Black Flag,83,Ubisoft
Mortal Kombat,84,NetherRealm Studios
Madden NFL 10,85,EA Tiburon
BioShock,96,"Irrational Games, 2K Marin"
Metroid Prime,97,Retro Studios
Assassin's Creed: Brotherhood,90,Ubisoft Montreal
Medal of Honor,75,"EA DICE, Danger Close"
inFAMOUS: Second Son,80,Sucker Punch
NBA Street,89,NuFX
Jak II,87,Naughty Dog
Need for Speed: Hot Pursuit,89,Criterion Games
Skylanders: Spyro's Adventure,81,Toys for Bob
Battlefield 3,89,EA DICE
Mortal Kombat X,83,"Warner Bros. Interactive Entertainment, NetherRealm Studios"
The Sims,83,Edge of Reality
Killzone 3,84,Guerrilla
Star Wars: The Force Unleashed,73,LucasArts
Yoshi's Island DS,81,Artoon
Saints Row: The Third,84,Volition Inc.
Tekken 6,79,Namco Bandai Games
Sonic and the Secret Rings,69,Sonic Team
The Legend of Zelda: A Link to the Past,95,Capcom
Onimusha: Warlords,86,Capcom
L.A. Noire,89,Team Bondi
Call of Duty 3,82,Treyarch
Madden NFL 12,78,EA Tiburon
LEGO Star Wars II: The Original Trilogy,84,Traveller's Tales
Killzone: Shadow Fall,73,Guerrilla
Madden NFL 11,84,EA Tiburon
Burnout 3: Takedown,93,Criterion Games
Mario vs. Donkey Kong: Mini-Land Mayhem!,79,Nintendo
Professor Layton and the Last Specter,83,Level 5
Call Of Duty 2: Big Red One,77,Treyarch
Medal of Honor,92,Dreamworks Interactive
Fable,85,Big Blue Box
Guitar Hero: World Tour,85,Neversoft Entertainment
FIFA 17,84,"EA Sports, EA Vancouver"
Tom Clancy's Splinter Cell,89,Ubisoft Shanghai
Need for Speed: Shift,84,Slightly Mad Studios
Medal of Honor Heroes,71,Team Fusion
Final Fantasy XIII-2,79,Square Enix
Midnight Club: Street Racing,78,Angel Studios
Skate 3,80,EA Black Box
ESPN NFL 2K5,90,Visual Concepts
Halo Wars,82,Ensemble Studios
NBA 2K12,90,Visual Concepts
FIFA Soccer 10,90,EA Sports
Medal of Honor,74,"Dice, Danger Close"
Harry Potter and the Chamber of Secrets,71,Electronic Arts
God of War Collection,91,Bluepoint Games
NBA Live 2005,84,EA Canada
Mario Strikers Charged,79,Next Level Games
FIFA Soccer 09,87,EA Canada
Style Savvy,73,syn Sophia
WWE SmackDown vs. RAW 2007,80,Yuke's
LEGO Star Wars: The Complete Saga,80,Traveller's Tales
Madden NFL 08,78,EA Tiburon
Monster Hunter Freedom 2,72,Capcom
Sonic Adventure 2 Battle,73,Sonic Team
Madden NFL 13,83,EA Tiburon
Dragon Age: Origins,86,BioWare
Pokémon Colosseum,73,Genius Sonority Inc.
LittleBigPlanet,87,"SCE/WWS, Media Molecule"
Madden NFL 09,83,EA Tiburon
Crazy Taxi,80,Acclaim Studios Cheltenham
Art Academy,75,Headstrong Games
