Name,Critic_Score,Developer
Brothers In Arms: Earned in Blood,85,Gearbox Software
LEGO Legends of Chima: Laval's Journey,65,TT Games
Skylanders: SuperChargers,81,Vicarious Visions
Dark Void,59,Airtight Games
Manhunt 2,69,Rockstar London
Mega Man Maverick Hunter X,79,Capcom
Star Wars Jedi Knight II: Jedi Outcast,81,Vicarious Visions
Clash of the Titans,41,Game Republic
Mega Man Battle Network 2,81,Capcom
Major League Baseball 2K8,67,Kush Games
Pandora's Tower,73,Ganbarion
SimAnimals,58,Electronic Arts
Tiger Woods PGA Tour 06,71,EA Sports
Jonah Lomu Rugby Challenge,73,Sidhe Interactive
Midway Arcade Treasures 2,74,Backbone Entertainment
NASCAR Thunder 2003,85,EA Sports
Mega Man Zero Collection,78,"Inti, Inti Creates"
Pro Evolution Soccer 2013,82,Konami
Star Wars Racer Revenge,73,Rainbow Studios
NCAA Final Four 2002,52,989 Sports
Blade II,49,Mucky Foot Productions
TRON: Evolution,58,Propaganda Games
Bruce Lee: Quest of the Dragon,32,Ronin Entertainment
Disney's The Emperor's New Groove,66,Disney Interactive
Dragon Ball Z: Battle of Z,54,Artdink
Disney's Stitch: Experiment 626,59,High Voltage Software
Orphen: Scion of Sorcery,54,Shade
NBA Live 08,73,EA Canada
Star Wars Episode III: Revenge of the Sith,73,Ubisoft
Ultimate Spider-Man,62,Vicarious Visions
Midtown Madness 3,76,Digital Illusions
Shrek Swamp Kart Speedway,27,Prolific
Contra 4,83,WayForward
Spyro: Attack of the Rhynocs,72,Digital Eclipse
Monsters vs. Aliens,66,Beenox
NASCAR 2011: The Game,62,Eutechnyx
BlazBlue: Chrono Phantasma,83,Arc System Works
Kingdoms of Amalur: Reckoning,81,Big Huge Games
Mario Party: Star Rush,68,"Nintendo, Nd Cube"
Burnout,78,Criterion Games
Chaos Legion,65,Capcom
Charlie and the Chocolate Factory,36,"High Voltage Software, Backbone Entertainment"
Neopets: The Darkest Faerie,61,Idol Minds
Naruto Shippuden: Ultimate Ninja Storm 4,81,CyberConnect2
Batman: Arkham VR,75,Rocksteady Studios
24: The Game,62,SCE Studio Cambridge
The King of Fighters XIII,77,SNK Playmore
Tom Clancy's Splinter Cell 3D,53,Ubisoft
Magna Carta 2,69,"Banpresto, SoftMax"
Romance of the Three Kingdoms VIII,77,Koei
F1 2013,79,Codemasters
Crazy Taxi: Catch a Ride,48,Graphic State
Final Fantasy XI: Wings of the Goddess,63,Square Enix
PowerUp Heroes,61,Ubisoft
Rayman 2: Revolution,90,Ubisoft
One Piece Unlimited Cruise SP,46,Bandai Namco Games
Madden NFL 13,63,EA Tiburon
Army Men: Air Attack 2,74,3DO
NBA Live 2003,82,EA Canada
Stranglehold,77,Midway
Pride FC: Fighting Championships,73,Anchor
Eternal Ring,62,From Software
Resident Evil Archives: Resident Evil,76,Capcom
Dynasty Warriors 6,60,Omega Force
Silent Hill: Shattered Memories,73,"Climax Group, Climax Studios"
Dance Dance Revolution Universe 3,65,Konami
Showdown: Legends of Wrestling,55,Acclaim
Sword Art Online: Hollow Fragment,67,Bandai Namco Games
Full Spectrum Warrior,74,Pandemic Studios
The Sims 2: Pets,68,Maxis
Fist of the North Star: Ken's Rage 2,49,"Koei, Omega Force"
MLB SlugFest Loaded,77,Point of View
Teenage Mutant Ninja Turtles,56,Konami
Capcom Classics Collection Remixed,72,Digital Eclipse
1701 A.D.,79,Related Designs
Lego Star Wars: The Force Awakens,76,TT Games
Little Deviants,57,Bigbig Studios
Spider-Man 3,52,Treyarch
AMF Bowling 2004,48,
Shrek the Third,70,Vicarious Visions
Radiant Historia,85,Atlus
Sorcery,70,The Workshop
Harry Potter and the Order of the Phoenix,68,EA Games
Grandia II,71,Game Arts
Shaun White Snowboarding: World Stage,72,Ubisoft
Spider-Man: Friend or Foe,60,Next Level Games
Guitar Hero: Van Halen,57,"Neversoft Entertainment, Underground Development"
Batman: The Brave and the Bold the Videogame,74,WayForward
The Sims 2,90,Maxis
Need for Speed Underground,77,Pocketeers
Def Jam Rapstar,74,"Terminal Reality, 4mm Games"
Outlaw Golf,72,Simon & Schuster
MySims SkyHeroes,67,Electronic Arts
Mini Ninjas,73,Io Interactive
NBA Street V3,88,EA Canada
WinBack: Covert Operations,66,Omega Force
Syphon Filter: Dark Mirror,87,Sony Bend
Glory of Heracles,69,Paon Corporation
Up,61,Heavy Iron Studios
Modnation Racers: Road Trip,62,SCEA
NBA Live 06,64,EA Canada
ExerBeat,60,Namco Bandai Games
Need for Speed: Most Wanted,82,Black Box
Front Mission Evolved,58,Double Helix Games
Ultimate Marvel vs. Capcom 3,80,Capcom
Little King's Story,87,Cing
Dynasty Warriors: Strikeforce,64,Omega Force
NieR,67,Cavia Inc.
Zoo Tycoon 2 DS,60,Altron
Area 51,72,Midway Studios - Austin
Deadpool,60,High Moon Studios
UEFA Euro 2016,72,Konami
Wanted: Weapons of Fate,61,GRIN
Mega Man X8,68,"Valuewave Co.,Ltd."
The Chronicles of Riddick: Assault on Dark Athena,82,Starbreeze
Ford Mustang: The Legend Lives,58,Eutechnyx
FlatOut: Head On,74,Bugbear
Duel Masters: Sempai Legends,69,Mistic Software
Harvest Moon: Magical Melody,69,Marvelous Entertainment
Heroes of the Pacific,76,IR Gurus
Prince of Persia: Rival Swords,70,Ubisoft Montreal
The Lord of the Rings: The Third Age,74,EA Games
Trace Memory,70,Cing
X-Men Legends II: Rise of Apocalypse,84,Vicarious Visions
Borderlands: The Pre-Sequel,75,2K Australia
Madden NFL 08,76,EA Tiburon
Trauma Center: New Blood,77,Atlus
Starhawk,77,LightBox Interactive
Pirates of the Caribbean,65,Akella
FIFA Soccer 13,68,Electronic Arts
Ace Combat: Joint Assault,71,Project Aces
The BIGS 2,68,Blue Castle Games
Turning Point: Fall of Liberty,43,Spark Unlimited
Sonic Boom: Shattered Crystal,47,Sanzaru Games
Shrek Super Party,30,Mass Media
MLB Power Pros,83,Konami
"Sakura Wars: So Long, My Love",81,RED Entertainment
Dynasty Tactics,79,Koei
Call of Juarez: The Cartel,45,Techland
Angry Birds Star Wars,49,Exient Entertainment
Metal Gear Solid V: Ground Zeroes,76,Kojima Productions
SimCity 4,84,Maxis
Puzzle Quest: Challenge of the Warlords,71,Vicious Cycle
Disgaea 5: Alliance of Vengeance,80,Nippon Ichi Software
Sengoku Basara: Samurai Heroes,65,Capcom
Rayman 3: Hoodlum Havoc,76,Ubisoft
Warriors Orochi 2,56,Omega Force
Feel the Magic XY/XX,75,Sonic Team
Psi-Ops: The Mindgate Conspiracy,84,Midway
Dead Rising: Chop Till You Drop,61,TOSE
Spyro: A Hero's Tail,62,Eurocom Entertainment Software
NASCAR 08,59,EA Tiburon
World of Tanks,80,Wargaming.net
Links 2004,80,Indie Built
Majin and the Forsaken Kingdom,72,Game Republic
Assassin's Creed IV: Black Flag,86,Ubisoft
Earthworm Jim,72,Game Titan
Tales of Phantasia,76,Namco
Monster 4x4: Masters of Metal,48,Ubisoft
Dragon Ball GT: Transformation,69,Webfoot Technologies
FIFA 15,82,EA Sports
The Warriors,85,Rockstar Toronto
Shadow Hearts,73,Sacnoth
Dragon Ball Z: Budokai Tenkaichi 2,72,Spike
Haven: Call of the King,69,Traveller's Tales
Street Hoops,58,Black Ops Entertainment
R: Racing Evolution,66,Namco
The Golden Compass,40,Shiny Entertainment
ATV Quad Power Racing 2,70,Climax Group
Hatsune Miku: Project Diva f,73,Sega
Marvel Nemesis: Rise of the Imperfects,58,"EA Canada, Nihilistic"
Final Fantasy VI Advance,92,TOSE
LEGO The Lord of the Rings,54,TT Games
Viewtiful Joe,90,Clover Studio
DeathSmiles,76,Cave
Fable: The Journey,61,Lionhead Studios
Bladestorm: The Hundred Years' War,58,Omega Force
SAW,59,Zombie Studios
Chromehounds,71,From Software
Harry Potter and the Sorcerer's Stone,56,Warthog
Unreal Championship 2: The Liandri Conflict,85,Epic Games
Kung Fu Chaos,68,Just Add Monsters
Shrek the Third,57,Amaze Entertainment
Jackass the Game,58,Sidhe Interactive
Pirates of the Caribbean: Dead Man's Chest,52,Griptonite Games
Operation Flashpoint: Red River,69,Codemasters
Transformers: Dark of the Moon,59,High Moon Studios
Surf's Up,56,Ubisoft Quebec
Assassin's Creed II: Discovery,69,Griptonite Games
Syphon Filter: Dark Mirror,70,Sony Bend
Mission: Impossible - Operation Surma,64,Paradigm Entertainment
MLB 07: The Show,82,SCEA San Diego Studios
Driver: Parallel Lines,69,Reflections Interactive
Mega Man ZX,76,Inti Creates
Backyard Wrestling 2: There Goes the Neighborhood,46,Paradox Development
Guitar Hero: Van Halen,50,Neversoft Entertainment
Dead or Alive,84,Team Ninja
Dead to Rights: Retribution,60,Volatile Games
Wild ARMs 5,71,Media Vision
NFL Blitz 20-02,76,Midway
El Shaddai: Ascension of the Metatron,78,Ignition Entertainment
Tony Hawk: Shred,56,Robomodo
NCAA March Madness 2005,80,EA Canada
Kenka Bancho: Badass Rumble,70,Bullets
Silent Hill 2: Restless Dreams,84,KCET
NES Remix,71,Indies Zero
Bass Strike,57,THQ
NHL Hitz 20-03,82,Midway
Bionic Commando,70,GRIN
Monopoly Streets,66,Electronic Arts
Pac-Man Fever,54,Mass Media
Trivial Pursuit,66,EA Bright Light
Medieval Moves: Deadmund's Quest,61,Zindagi Games
Mister Mosquito,65,Zoom
Rugby World Cup 2011,55,HB Studios Multimedia
Virtua Fighter 5 Online,89,Sega AM2
Indiana Jones and the Staff of Kings,55,LucasArts
Angry Birds Star Wars,59,Exient Entertainment
Dave Mirra Freestyle BMX 2,78,"Z-Axis, Ltd."
One Piece: Unlimited World Red,71,Ganbarion
True Crime: New York City,60,Exakt
Summer Heat Beach Volleyball,65,Acclaim Studios Cheltenham
Avatar: The Last Airbender,56,AWE Games
Castlevania: Aria of Sorrow,91,KCET
Myst III: Exile,57,Presto Studios
Shin Megami Tensei: Strange Journey,80,Atlus
Army of Two: The Devil's Cartel,58,Visceral Games
Patapon 3,74,SCE Japan Studio
Ice Age: Dawn of the Dinosaurs,75,Activision
Tao Feng: Fist of the Lotus,65,Studio Gigante
Guitar Hero: Van Halen,59,Neversoft Entertainment
Dragon Ball Z: Budokai 2,66,Pyramid
Over the Hedge,71,Vicarious Visions
Siren: Blood Curse,78,SCE Japan Studio
NHL Hitz 20-02,79,Black Box
GRID 2,78,Codemasters
Evil Dead: Hail to the King,51,Heavy Iron Studios
Need for Speed: The Run,64,Firebrand Games
Dave Mirra Freestyle BMX: Maximum Remix,67,"Z-Axis, Ltd."
The Evil Within,68,Tango Gameworks
Rock Revolution,38,"Zoe Mode, HB Studios Multimedia"
Dead Rising 2: Off the Record,72,Capcom Vancouver
WWII Aces,41,Arcade Moon
Athens 2004,61,Eurocom Entertainment Software
Pro Race Driver,81,Codemasters
Baten Kaitos: Eternal Wings and the Lost Ocean,80,Monolith Soft
Iron Man 2,41,Sega Studios San Francisco
Disgaea 3: Absence of Detention,78,Nippon Ichi Software
Rocky: Legends,65,Venom Games
The Warriors,81,"Rockstar Toronto, Rockstar Leeds"
RalliSport Challenge 2,87,Digital Illusions
Pac-Pix,71,Namco
F1 Race Stars,64,Codemasters
Sing Party,60,FreeStyleGames
NHL 07,79,EA Sports
RollerCoaster Tycoon 3,81,Frontier Developments
Ty the Tasmanian Tiger,69,Krome Studios
WWE Road to WrestleMania X8,73,Natsume
Fullmetal Alchemist 2: Curse of the Crimson Elixir,67,Racjin
NASCAR 06: Total Team Control,79,EA Sports
BloodRayne 2,70,Terminal Reality
Rory McIlroy PGA Tour,60,EA Tiburon
The Club,76,Bizarre Creations
NHL 2002,89,EA Sports
LEGO The Hobbit,69,TT Games
Lightning Returns: Final Fantasy XIII,69,Square Enix
Shadow of Rome,75,Capcom
NASCAR 2011: The Game,62,Eutechnyx
Harry Potter and the Order of the Phoenix,61,EA Games
Transformers: Cybertron Adventures,41,Next Level Games
Stuntman: Ignition,71,Paradigm Entertainment
Gun,75,Neversoft Entertainment
NHL 2K11,62,Visual Concepts
Fantastic 4,62,7 Studios
MotoGP,77,Namco
Batman: Arkham Origins Blackgate,68,Armature Studio
Shadows of the Damned,77,Grasshopper Manufacture
R.U.S.E.,76,Eugen Systems
Rock Revolution,42,"Zoe Mode, HB Studios Multimedia"
NBA Live 2004,84,EA Sports
Reign of Fire,56,Kuju Entertainment
The Sims 2: Pets,66,Maxis
Ultimate NES Remix,69,Indies Zero
Tropico 4,78,Haemimont
The BIGS,79,Blue Castle Games
Jurassic Park: Operation Genesis,75,Blue Tongue Entertainment
Knockout Kings 2002,78,Electronic Arts
InuYasha: Feudal Combat,52,Eighting
R.U.S.E.,78,Eugen Systems
Duel Masters,66,High Voltage Software
MotionSports: Adrenaline,41,Ubisoft Vancouver
NBA 07,63,SCEA
Call of Juarez: The Cartel,47,Techland
My Japanese Coach,59,"Ubisoft, Sensory Sweep"
Need for Speed: Most Wanted,45,EA Canada
Section 8,69,TimeGate Studios
ESPN NBA Basketball,87,Visual Concepts
Lowrider,46,Pacific Century Cyber Works
Family Guy: Back to the Multiverse,40,Heavy Iron Studios
All-Pro Football 2K8,75,Visual Concepts
Fish Tycoon,46,"LDW, Big Fish Games"
Plants vs. Zombies,89,PopCap
Batman: Return to Arkham,73,"Rocksteady Studios, Virtuos"
Rune: Viking Warlord,53,Human Head Studios
The Incredible Hulk,55,Edge of Reality
Panzer Dragoon Orta,90,Smilebit
America's Test Kitchen: Let's Get Cooking,87,Indies Zero
Suikoden Tierkreis,76,Konami
Superman Returns,51,EA Tiburon
Shin Megami Tensei: Devil Survivor,84,Atlus
Tearaway Unfolded,81,Media Molecule
MLB SlugFest 2006,56,Blue Shift
Etrian Odyssey II: Heroes of Lagaard,82,Atlus
The Incredible Hulk,55,Edge of Reality
Deadly Premonition,68,Access Games
Ford Racing 3,50,Razorworks Studios
The Adventures of Tintin: The Game,59,Ubisoft Montpellier
Dragon Ball Z: Tenkaichi Tag Team,63,Spike
Etrian Odyssey Untold: The Millennium Girl,80,Atlus
Final Fantasy V Advance,83,TOSE
Star Wars: Bounty Hunter,67,LucasArts
Dynasty Warriors 7: Xtreme Legends,64,Omega Force
Naruto: Ultimate Ninja Heroes,70,Bandai
Angry Birds Trilogy,63,"Rovio Mobile, Rovio Entertainment"
Major League Baseball 2K9,61,2K Sports
WWE 2K17,68,Yuke's
Battlestations: Midway,73,Eidos Interactive
Riding Spirits,59,Spike
Project CARS,81,Slightly Mad Studios
MLB 09: The Show,78,SCEA San Diego Studios
Bust A Groove 2,66,Metro
Inazuma Eleven Strikers,59,Level 5
Armored Core: Nexus,73,From Software
Evolution Skateboarding,44,Konami
Outlaw Volleyball,77,Hypnotix
Batman: Vengeance,70,Ubisoft Montreal
Spider-Man: Web of Shadows,67,"Treyarch, Shaba Games"
Legaia 2: Duel Saga,67,Prokion
Crash Nitro Kart,66,Vicarious Visions
ExciteBots: Trick Racing,77,Monster Games Inc.
Oddworld: Stranger's Wrath,88,Oddworld Inhabitants
King of Fighters: Maximum Impact,64,SNK Playmore
Atelier Ayesha: The Alchemist of Dusk,70,Gust
Battleborn,68,Gearbox Software
Drakan: The Ancients' Gates,78,Surreal Software
Resident Evil: Revelations,75,Capcom
Tony Hawk: Shred,53,Robomodo
Tokyo Jungle,74,Crispy's
Army of Two: The Devil's Cartel,54,Visceral Games
Puppeteer,80,SCE Japan Studio
Tom Clancy's Splinter Cell: Double Agent,78,Ubisoft Shanghai
Resident Evil: Deadly Silence,71,Capcom
Legendary,47,Spark Unlimited
Peter Jackson's King Kong: The Official Game of the Movie,80,Ubisoft Montpellier
Rayman DS,58,DC Studios
All-Star Baseball 2003,79,Acclaim
MTX Mototrax,77,Left Field Productions
NBA ShootOut 2004,58,989 Sports
Nancy Drew: The Mystery of the Clue Bender Society,46,Gorilla Systems
Castlevania: Harmony of Dissonance,87,KCET
Formula One 2001,73,Studio Liverpool
Pirates of the Caribbean: Dead Man's Chest,63,Amaze Entertainment
Baldur's Gate: Dark Alliance II,77,Black Isle Studios
Madden NFL 2005,68,Exient Entertainment
MVP Baseball 2004,89,EA Sports
Polarium,73,Mitchell
Super Street Fighter II: Turbo Revival,84,Capcom
Secret Weapons Over Normandy,77,Totally Games
The Elder Scrolls IV: Oblivion,94,Bethesda Softworks
Metroid Prime Pinball,79,Fuse Games Limited
Teen Titans,56,Artificial Mind and Movement
Bomberman Generation,81,Hudson
Sega Rally Revo,74,Bugbear
Surfing H3O,46,Opus
NASCAR 09,69,EA Games
NASCAR 09,65,EA Games
Game of Thrones,52,"Cyanide, Cyanide Studios"
Silent Hunter 5: Battle of the Atlantic,62,Ubisoft Romania
Amped 2,80,Indie Built
Final Fantasy Crystal Chronicles: Echoes of Time,64,Square Enix
College Hoops 2K6,77,2K Sports
NHL 08,86,EA Canada
The Legend of Legacy,67,FuRyu
Juiced 2: Hot Import Nights,71,Juice Games
WipEout XL,93,Psygnosis
LEGO Star Wars III: The Clone Wars,76,Traveller's Tales
The Powerpuff Girls: Chemical X-Traction,30,VIS Entertainment
Dead or Alive Xtreme 2,53,Team Ninja
PlayStation VR Worlds,59,Sony Interactive Entertainment
Hunted: The Demon's Forge,57,InXile Entertainment
Men of Valor,73,2015
Medal of Honor European Assault,71,EA LA
Billy Hatcher and the Giant Egg,71,Sonic Team
NHL 08,85,EA Canada
WipEout Fusion,83,Studio Liverpool
Prison Break: The Conspiracy,42,ZootFly
NHL 06,79,EA Canada
Anno 2205,72,Blue Byte
Ultimate Fighting Championship,53,Opus
XIII,74,Southend Interactive
Up,65,Heavy Iron Studios
Michael Jackson: The Experience,64,Ubisoft
MotoGP '07,78,"Climax Group, Climax Studios"
Cars,65,Rainbow Studios
Hatsune Miku: Project Diva F 2nd,78,Sega
Need for Speed Rivals,76,Ghost Games
The Mummy: Tomb of the Dragon Emperor,38,Eurocom Entertainment Software
Def Jam Vendetta,81,Aki Corp.
The Sims 2,75,Maxis
Spider-Man: Web of Shadows,63,"Treyarch, Shaba Games"
The Bureau: XCOM Declassified,69,2K Marin
World Series Baseball 2K3,87,Blue Shift
Tony Hawk's Proving Ground,57,Page 44 Studios
Indiana Jones and the Staff of Kings,63,Amaze
The Outfit,70,Relic
Don King Presents: Prizefighter,56,Venom Games
Devil Kings,64,Capcom
Bolt,57,Avalanche Software
Spider-Man: Edge of Time,57,Beenox
L.A. Noire: The Complete Edition,83,Rockstar Leeds
Dynasty Warriors 6,43,"Koei, Omega Force"
America's Army: Rise of a Soldier,70,Secret Level
Grandia,89,Game Arts
Pirates of the Caribbean: The Legend of Jack Sparrow,51,7 Studios
"Ed, Edd n Eddy: The Mis-Edventures",55,Artificial Mind and Movement
Armored Core 4,65,From Software
SBK Superbike World Championship,59,Milestone S.r.l
Indiana Jones and the Staff of Kings,50,LucasArts
X-Men Origins: Wolverine,53,Amaze Entertainment
Disgaea 2: Dark Hero Days,83,Nippon Ichi Software
Major League Baseball 2K7,74,Kush Games
Final Fantasy XI: Chains of Promathia,77,Square Enix
The Chronicles of Riddick: Assault on Dark Athena,80,Starbreeze
X-Men Legends II: Rise of Apocalypse,82,Raven Software
TV Superstars,56,SCE Studio Cambridge
Family Guy: Back to the Multiverse,39,Heavy Iron Studios
Ninja Gaiden 3,58,Team Ninja
Sid Meier's Civilization VI,88,Firaxis Games
Sword Art Online: Lost Song,63,"Bandai Namco Games, Artdink"
NBA Courtside 2002,71,Left Field Productions
F1 2015,64,Codemasters
Sly Cooper: Thieves in Time,75,Sanzaru Games
Digimon World: Data Squad,43,Bec
Hitman: Absolution,79,"Io Interactive, Nixxes Software"
Stella Glow,79,"Image Epoch, Imageepoch"
Racquet Sports,51,Asobo Studio
Trials Fusion,80,RedLynx
Mega Man X Collection,73,Capcom
Far Cry Instincts Predator,78,Ubisoft Montreal
Onechanbara Z2: Chaos,57,"Tamsoft, D3Publisher"
Skylanders SWAP Force,68,n-Space
Army Men: Sarge's Heroes 2,48,3DO
MLB,80,989 Sports
Skylanders: SuperChargers,76,Vicarious Visions
Ys: Memories of Celceta,82,Falcom
Britney's Dance Beat,63,Metro Graphics
Vexx,63,Acclaim Studios Austin
Samurai Warriors 4,76,Omega Force
Ace Combat: Assault Horizon Legacy,71,Project Aces
TimeSplitters: Future Perfect,84,Free Radical Design
Dynasty Warriors Next,67,Koei
Harvest Moon: Magical Melody,83,Marvelous
Genma Onimusha,83,Capcom
DK: King of Swing,70,Paon Corporation
Turning Point: Fall of Liberty,42,Spark Unlimited
Homefront,70,Digital Extremes
Corvette,53,Steel Monkeys
Percy Jackson and the Olympians: The Lightning Thief,56,Griptonite Games
Fuel,67,Asobo Studio
NBA Live 10,64,EA Canada
Burnout 2: Point of Impact,88,Criterion Games
Super Monkey Ball Deluxe,78,Sega
Kill.Switch,75,Namco
BioShock 2,88,2K Marin
Lunar: Silver Star Harmony,80,Game Arts
Peter Jackson's King Kong: The Official Game of the Movie,81,Ubisoft Montpellier
Dancing With The Stars,42,Zoe Mode
The Simpsons: Road Rage,67,Radical Entertainment
Dynasty Warriors 7,58,Omega Force
Total War: Attila,80,Creative Assembly
Azurik: Rise of Perathia,52,Adrenium
Dragon Ball Z: Sagas,51,Avalanche Software
AC/DC LIVE: Rock Band Track Pack,60,Harmonix Music Systems
Crash Tag Team Racing,68,Radical Entertainment
Asura's Wrath,71,CyberConnect2
Harvest Moon: Another Wonderful Life,70,Marvelous
Final Fantasy Fables: Chocobo Tales,75,h.a.n.d. Inc.
NCAA College Basketball 2K3,83,Kush Games
NHL 17,77,"EA Canada, EA Vancouver"
Bakugan: Battle Brawlers,60,Now Production
Fantastic 4,61,7 Studios
Tony Hawk's American Sk8land,64,Vicarious Visions
Singularity,77,Raven Software
Metro 2033,81,4A Games
Valhalla Knights,53,K2 LLC
The Adventures of Tintin: The Game,63,Ubisoft Montpellier
Etrian Mystery Dungeon,77,Spike Chunsoft
Zumba Fitness: World Party,73,Zoe Mode
Luminous Arc,70,"Image Epoch, Imageepoch"
4x4 EVO 2,59,Terminal Reality
Grand Theft Auto,68,Digital Eclipse
Avalon Code,71,"Matrix Software, Marvelous Entertainment"
Dreamcast Collection,53,Sega
Resident Evil Archives: Resident Evil Zero,62,Capcom
Rocket League,87,Psyonix
My Street,46,Idol Minds
Spider-Man: Shattered Dimensions,75,Beenox
Ghost Rider,49,Climax Group
Shadow Hearts: Covenant,85,Nautilus
X-Men: Destiny,50,Silicon Knights
Driver '76,57,Sumo Digital
Harry Potter and the Order of the Phoenix,67,EA Games
Midway Arcade Treasures: Extended Play,63,Digital Eclipse
Dynasty Warriors 6 Empires,59,Omega Force
The Testament of Sherlock Holmes,65,Frogwares
FIFA World Cup Germany 2006,77,EA Canada
NBA Live 14,43,EA Sports
G.I. Joe: The Rise of Cobra,42,Double Helix Games
Game of Thrones,53,"Cyanide, Cyanide Studios"
LEGO Marvel's Avengers,69,TT Games
PDC World Championship Darts 2008,51,Oxygen Interactive
X-Men: Destiny,47,Silicon Knights
Pro Evolution Soccer 2014,80,Konami
Pure Futbol,46,Ubisoft Vancouver
Afro Samurai,65,"Namco Bandai Games America, Namco Bandai Games"
Ar tonelico Qoga: Knell of Ar Ciel,61,Gust
NASCAR 08,56,EA Tiburon
Broken Sword: Shadow of the Templars - The Director's Cut,74,Revolution Software
Divinity II: Ego Draconis,62,Larian Studios
Birds of Steel,73,Gaijin Entertainment
DC Universe Online,72,WBIE
Bakugan: Battle Brawlers,63,Now Production
Naruto: Path of the Ninja 2,62,TOSE
Karaoke Revolution Volume 2,76,Harmonix Music Systems
Prince of Persia: The Forgotten Sands,77,Ubisoft Quebec
Disney's A Christmas Carol,66,Sumo Digital
NBA Live 15,59,EA Sports
NASCAR Thunder 2004,85,EA Games
Buffy the Vampire Slayer,79,Double Helix Games
Harry Potter and the Goblet of Fire,68,Electronic Arts
Sands of Destruction,63,"Image Epoch, Imageepoch"
Harry Potter and the Goblet of Fire,68,Magic Pockets
Viva Pinata: Party Animals,56,Krome Studios
World Series Baseball,85,Blueshift
Test Drive: Eve of Destruction,73,Monster Games Inc.
Dynasty Warriors: Gundam Reborn,64,Omega Force
Hatsune Miku: Project Diva f,81,Sega
The Legend of Heroes: Trails of Cold Steel,77,Falcom
Jeremy McGrath Supercross World,35,Acclaim
The Scorpion King: Rise of the Akkadian,47,VU Games
The Club,72,Bizarre Creations
Meteos,88,Q Entertainment
Star Wars Jedi Knight II: Jedi Outcast,75,Vicarious Visions
Tom Clancy's Splinter Cell,89,Ubisoft Shanghai
Virtua Tennis 4,70,Sega
ESPN NHL Hockey,90,Kush Games
DiRT Showdown,75,Codemasters
The Incredible Hulk: Ultimate Destruction,84,Radical Entertainment
Gundam Battle Assault,61,Natsume
XCOM 2,88,Firaxis Games
Tony Hawk's Downhill Jam,69,Toys for Bob
Cross Edge,52,Compile Heart
The Lord of the Rings: Aragorn's Quest,58,Headstrong Games
Tribes: Aerial Assault,73,Midway Studios - Austin
Looney Tunes: Acme Arsenal,27,Red Tribe
Madagascar: Escape 2 Africa,58,Toys for Bob
NBA 2K6,81,Visual Concepts
NASCAR 08,57,EA Tiburon
Mafia,66,Illusion Softworks
Grand Slam Tennis 2,73,EA Sports
Dynasty Warriors: Strikeforce,59,Omega Force
Airblade,70,Criterion Games
Epic Mickey 2: The Power of Two,57,Junction Point
Carnival Island,66,Magic Pixel Games
Tom Clancy's Rainbow Six: Siege,79,Ubisoft Montreal
Genji: Dawn of the Samurai,74,Game Republic
The Italian Job,55,Climax Group
TrackMania: Build to Race,74,Firebrand Games
Ultimate Band,59,Disney Interactive Studios
Freedom Fighters,82,Io Interactive
Soldier of Fortune II: Double Helix,61,Gratuitous Games
Lunar Knights,82,Kojima Productions
Final Fantasy XI: Treasures of Aht Urhgan,87,Square Enix
WWE All Stars,71,THQ
Alundra,86,Matrix Software
Mortal Kombat: Armageddon,71,JGI Entertainment
Madden NFL 13,75,EA Tiburon
Transformers: Devastation,77,PlatinumGames
BlowOut,58,Terminal Reality
NFL Blitz Pro,73,Midway
Tiger Woods PGA Tour 2003,90,EA Sports
Pinball Hall of Fame: The Gottlieb Collection,73,Farsight Studios
Disgaea: Afternoon of Darkness,87,Nippon Ichi Software
Toukiden Kiwami,82,"Omega Force, Koei Tecmo Games"
SSX On Tour,79,EA Montreal
Rune Factory: Tides of Destiny,55,Neverland
Ys Seven,79,Falcom
Lumines: Electronic Symphony,83,Q Entertainment
Tony Hawk's Proving Ground,79,Vicarious Visions
The Polar Express,39,Blue Tongue
AC/DC LIVE: Rock Band Track Pack,63,Harmonix Music Systems
Valhalla Knights 2,50,K2
Spec Ops: The Line,76,Yager
Saint Seiya: Sanctuary Battle,62,Dimps Corporation
NBA ShootOut 2003,62,SCEA
Need For Speed: Undercover,59,Firebrand Games
Rogue Ops,61,Bits Studios
Killer is Dead,64,Grasshopper Manufacture
F1 2014,64,Codemasters Birmingham
Legion: The Legend of Excalibur,51,7 Studios
Spartan: Total Warrior,74,Creative Assembly
Justice League Heroes,72,Snowblind Studios
Conflict: Vietnam,60,Pivotal Games
Whirl Tour,58,Papaya Studios
NBA Street: Showdown,75,EA Canada
pro evolution soccer 2011,78,Konami
Skies of Arcadia Legends,84,Overworks
Breath of Fire,79,Capcom
Risen 2: Dark Waters,69,Piranha Bytes
NCAA Football 2005,88,EA Sports
Hamtaro: Ham-Ham Games,77,Alphadream Corporation
Soul Sacrifice Delta,82,SCE Japan Studio
NASCAR 2011: The Game,42,Eutechnyx
Spider-Man: Edge of Time,58,Beenox
Ride,66,Milestone S.r.l
Spirit Camera: The Cursed Memoir,54,Tecmo Koei Games
Galactic Wrestling: Featuring Ultimate Muscle,61,Aki Corp.
FaceBreaker K.O. Party,61,EA Canada
Dino Stalker,50,Capcom
Mega Man Zero 3,77,Inti
Super Swing Golf,72,"Tecmo, Ntreev Soft"
