Name,Platform,Platform_Identifier,Year_of_Release,Genre,Genre_Identifier,Publisher,Publisher_Identifier,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Developer_Identifier,Rating,Rating_Identifier,Sales_Category,Sales_Category_Identifier
Call of Duty 4: Modern Warfare,X360,15,2007,Shooter,3,Activision,176,5.93,2.36,0.13,0.9,9.31,94,70,8.4,1320,Infinity Ward,975,M,2,HIGH,3
Animal Crossing: New Leaf,3DS,16,2012,Simulation,9,Nintendo,156,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo,1264,E,1,HIGH,3
Mario Party DS,DS,11,2007,Misc,7,Nintendo,156,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Hudson Soft,304,E,1,HIGH,3
The Elder Scrolls V: Skyrim,X360,15,2011,Role-Playing,4,Bethesda Softworks,189,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,Bethesda Game Studios,121,M,2,HIGH,3
FIFA 16,PS4,3,2015,Sports,2,Electronic Arts,126,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,856,E,1,HIGH,3
Halo 2,XB,2,2004,Shooter,3,Microsoft Game Studios,14,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,Bungie Software,680,M,2,HIGH,3
Wii Party,Wii,7,2010,Misc,7,Nintendo,156,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube,510,E,1,HIGH,3
Mario Party 8,Wii,7,2007,Misc,7,Nintendo,156,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,Hudson,685,E,1,HIGH,3
FIFA Soccer 13,PS3,14,2012,Action,1,Electronic Arts,126,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,Electronic Arts,366,E,1,HIGH,3
Final Fantasy X,PS2,13,2001,Role-Playing,4,Sony Computer Entertainment,34,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,SquareSoft,148,T,0,HIGH,3
The Sims 3,PC,0,2009,Simulation,9,Electronic Arts,126,0.99,6.42,0,0.6,8.01,86,75,7.6,886,The Sims Studio,598,T,0,HIGH,3
Final Fantasy VIII,PS,8,1999,Role-Playing,4,SquareSoft,246,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,148,T,0,HIGH,3
Pokémon Platinum Version,DS,11,2008,Role-Playing,4,Nintendo,156,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Game Freak,725,E,1,HIGH,3
Grand Theft Auto: Liberty City Stories,PSP,1,2005,Action,1,Take Two Interactive,21,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,Rockstar Leeds,787,M,2,HIGH,3
Call of Duty: Advanced Warfare,PS4,3,2014,Shooter,3,Activision,176,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,1014,M,2,HIGH,3
FIFA 17,PS4,3,2016,Sports,2,Electronic Arts,126,0.66,5.75,0.08,1.11,7.59,85,41,5,398,EA Sports EA Vancouver,418,E,1,HIGH,3
Super Mario Galaxy 2,Wii,7,2010,Platform,6,Nintendo,156,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,198,E,1,HIGH,3
Call of Duty: World at War,X360,15,2008,Shooter,3,Activision,176,4.81,1.88,0,0.69,7.38,84,84,7.6,580,Treyarch,1245,M,2,HIGH,3
Battlefield 3,X360,15,2011,Shooter,3,Electronic Arts,126,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,EA DICE,122,M,2,HIGH,3
Need for Speed Underground,PS2,13,2003,Racing,5,Electronic Arts,126,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,EA Black Box,452,E,1,HIGH,3
Just Dance,Wii,7,2009,Misc,7,Ubisoft,168,3.48,2.99,0,0.73,7.2,49,21,8,110,Ubisoft Paris,706,E10+,3,HIGH,3
Battlefield 3,PS3,14,2011,Shooter,3,Electronic Arts,126,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,EA DICE,122,M,2,HIGH,3
Fallout 4,PS4,3,2015,Role-Playing,4,Bethesda Softworks,189,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,121,M,2,HIGH,3
Tekken 3,PS,8,1998,Fighting,8,Sony Computer Entertainment,34,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,1098,T,0,HIGH,3
The Legend of Zelda: Twilight Princess,Wii,7,2006,Action,1,Nintendo,156,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,1264,T,0,HIGH,3
Crash Bandicoot 3: Warped,PS,8,1998,Platform,6,Sony Computer Entertainment,34,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,12,E,1,HIGH,3
Mario Kart 8,WiiU,9,2014,Racing,5,Nintendo,156,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,1264,E,1,HIGH,3
Super Smash Bros. Melee,GC,4,2001,Fighting,8,Nintendo,156,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,HAL Labs,1289,T,0,HIGH,3
Need for Speed Underground 2,PS2,13,2004,Racing,5,Electronic Arts,126,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,EA Canada,538,E,1,HIGH,3
Medal of Honor: Frontline,PS2,13,2002,Shooter,3,Electronic Arts,126,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,EA LA,1104,T,0,HIGH,3
Just Dance 4,Wii,7,2012,Misc,7,Ubisoft,168,4.05,2.16,0,0.55,6.76,74,10,7.3,28,Ubisoft,855,E10+,3,HIGH,3
Gears of War 2,X360,15,2008,Shooter,3,Microsoft Game Studios,14,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,Epic Games,578,M,2,HIGH,3
Uncharted 3: Drake's Deception,PS3,14,2011,Action,1,Sony Computer Entertainment,34,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,Naughty Dog,12,T,0,HIGH,3
Call of Duty 4: Modern Warfare,PS3,14,2007,Shooter,3,Activision,176,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,Infinity Ward,975,M,2,HIGH,3
Uncharted 2: Among Thieves,PS3,14,2009,Action,1,Sony Computer Entertainment,34,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,Naughty Dog,12,T,0,HIGH,3
Big Brain Academy,DS,11,2005,Misc,7,Nintendo,156,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,1264,E,1,HIGH,3
Red Dead Redemption,PS3,14,2010,Action,1,Take Two Interactive,21,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Rockstar San Diego,499,M,2,HIGH,3
FIFA 14,PS3,14,2013,Sports,2,Electronic Arts,126,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,EA Canada,538,E,1,HIGH,3
Assassin's Creed III,PS3,14,2012,Action,1,Ubisoft,168,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,855,M,2,HIGH,3
Donkey Kong Country Returns,Wii,7,2010,Platform,6,Nintendo,156,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Retro Studios,1167,E,1,HIGH,3
Halo: Combat Evolved,XB,2,2001,Shooter,3,Microsoft Game Studios,14,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,Bungie Software,680,M,2,HIGH,3
The Elder Scrolls V: Skyrim,PS3,14,2011,Role-Playing,4,Bethesda Softworks,189,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,Bethesda Game Studios,121,M,2,HIGH,3
Pokémon Emerald Version,GBA,6,2004,Role-Playing,4,Nintendo,156,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Game Freak,725,E,1,HIGH,3
Kingdom Hearts,PS2,13,2002,Role-Playing,4,Sony Computer Entertainment,34,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,148,E,1,HIGH,3
Halo 3: ODST,X360,15,2009,Shooter,3,Microsoft Game Studios,14,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,Bungie Software Bungie,1250,M,2,HIGH,3
Red Dead Redemption,X360,15,2010,Action,1,Take Two Interactive,21,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,Rockstar San Diego,499,M,2,HIGH,3
Super Mario Sunshine,GC,4,2002,Platform,6,Nintendo,156,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,Nintendo,1264,E,1,HIGH,3
World of Warcraft,PC,0,2004,Role-Playing,4,Activision,176,0.08,6.21,0,0,6.29,93,57,7.3,2182,Blizzard Entertainment,599,T,0,HIGH,3
Driver,PS,8,1999,Action,1,GT Interactive,248,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Reflections Interactive,800,T,0,HIGH,3
Gears of War 3,X360,15,2011,Shooter,3,Microsoft Game Studios,14,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,Epic Games,578,M,2,HIGH,3
Kinect Sports,X360,15,2010,Sports,2,Microsoft Game Studios,14,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,Rare Ltd.,1004,E10+,3,HIGH,3
Gears of War,X360,15,2006,Shooter,3,Microsoft Game Studios,14,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Epic Games,578,M,2,HIGH,3
FIFA 15,PS4,3,2014,Sports,2,Electronic Arts,126,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,856,E,1,HIGH,3
Metal Gear Solid 2: Sons of Liberty,PS2,13,2001,Action,1,Konami Digital Entertainment,22,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,KCEJ,636,M,2,HIGH,3
Metal Gear Solid,PS,8,1998,Action,1,Konami Digital Entertainment,22,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,636,M,2,HIGH,3
Metal Gear Solid 4: Guns of the Patriots,PS3,14,2008,Action,1,Konami Digital Entertainment,22,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Kojima Productions,1070,M,2,HIGH,3
Final Fantasy XII,PS2,13,2006,Role-Playing,4,Square Enix,127,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,921,T,0,HIGH,3
The Last of Us,PS3,14,2013,Action,1,Sony Computer Entertainment Europe,153,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Naughty Dog,12,M,2,HIGH,3
LittleBigPlanet,PS3,14,2008,Platform,6,Sony Computer Entertainment,34,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,SCE/WWS Media Molecule,665,E,1,HIGH,3
Resident Evil 2,PS,8,1998,Action,1,Virgin Interactive,30,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,63,M,2,HIGH,3
Dragon Quest IX: Sentinels of the Starry Skies,DS,11,2009,Role-Playing,4,Nintendo,156,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,Level 5,968,E10+,3,HIGH,3
Tekken 2,PS,8,1996,Fighting,8,Sony Computer Entertainment,34,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,1098,T,0,HIGH,3
Destiny,PS4,3,2014,Shooter,3,Activision,176,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,Bungie Software Bungie,1250,T,0,HIGH,3
LEGO Star Wars: The Complete Saga,Wii,7,2007,Action,1,LucasArts,37,3.57,1.55,0,0.51,5.64,80,17,8.9,62,Traveller's Tales,179,E10+,3,HIGH,3
Cooking Mama,DS,11,2006,Simulation,9,505 Games,25,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,540,E,1,HIGH,3
Assassin's Creed II,PS3,14,2009,Action,1,Ubisoft,168,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,164,M,2,HIGH,3
Assassin's Creed,X360,15,2007,Adventure,11,Ubisoft,168,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft Montreal,164,M,2,HIGH,3
Forza Motorsport 3,X360,15,2009,Racing,5,Microsoft Game Studios,14,2.99,1.9,0.1,0.5,5.49,92,90,8,516,Turn 10,1008,E,1,HIGH,3
Super Mario Advance,GBA,6,2001,Platform,6,Nintendo,156,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo,1264,E,1,HIGH,3
Monster Hunter Freedom Unite,PSP,1,2008,Role-Playing,4,Capcom,261,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,Capcom,63,T,0,HIGH,3
Batman: Arkham City,PS3,14,2011,Action,1,Warner Bros. Interactive Entertainment,69,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Rocksteady Studios,380,T,0,HIGH,3
Grand Theft Auto V,XOne,5,2014,Action,1,Take Two Interactive,21,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,1197,M,2,HIGH,3
Mario Kart: Super Circuit,GBA,6,2001,Racing,5,Nintendo,156,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Intelligent Systems,1024,E,1,HIGH,3
Crash Bandicoot: The Wrath of Cortex,PS2,13,2001,Platform,6,Universal Interactive,31,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Traveller's Tales,179,E,1,HIGH,3
Call of Duty: World at War,PS3,14,2008,Shooter,3,Activision,176,2.73,1.83,0,0.83,5.39,85,45,7.6,409,Treyarch,1245,M,2,HIGH,3
Uncharted 4: A Thief's End,PS4,3,2016,Shooter,3,Sony Computer Entertainment,34,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,12,T,0,HIGH,3
Final Fantasy XIII,PS3,14,2009,Role-Playing,4,Square Enix,127,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,Square Enix,921,T,0,HIGH,3
Final Fantasy IX,PS,8,2000,Role-Playing,4,SquareSoft,246,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,148,T,0,HIGH,3
Assassin's Creed III,X360,15,2012,Action,1,Ubisoft,168,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,855,M,2,HIGH,3
Final Fantasy X-2,PS2,13,2003,Role-Playing,4,Electronic Arts,126,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,148,T,0,HIGH,3
Call of Duty: Advanced Warfare,XOne,5,2014,Shooter,3,Activision,176,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,1014,M,2,HIGH,3
Assassin's Creed II,X360,15,2009,Action,1,Ubisoft,168,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft Montreal,164,M,2,HIGH,3
Madden NFL 2004,PS2,13,2004,Sports,2,Electronic Arts,126,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,EA Tiburon,397,E,1,HIGH,3
New Super Mario Bros. U,WiiU,9,2012,Platform,6,Nintendo,156,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,1264,E,1,HIGH,3
Dragon Quest VIII: Journey of the Cursed King,PS2,13,2004,Role-Playing,4,Square Enix,127,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5,968,T,0,HIGH,3
Professor Layton and the Curious Village,DS,11,2007,Puzzle,12,Nintendo,156,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Level 5,968,E,1,HIGH,3
FIFA Soccer 13,X360,15,2012,Action,1,Electronic Arts,126,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,Electronic Arts,366,E,1,HIGH,3
Diablo III,PC,0,2012,Role-Playing,4,Activision,176,2.44,2.16,0,0.54,5.14,88,86,4,9629,Blizzard Entertainment,599,M,2,HIGH,3
Medal of Honor: Rising Sun,PS2,13,2003,Shooter,3,Electronic Arts,126,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,EA LA,1104,T,0,HIGH,3
Guitar Hero II,PS2,13,2006,Misc,7,RedOctane,231,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,1009,T,0,HIGH,3
Fable III,X360,15,2010,Role-Playing,4,Microsoft Game Studios,14,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,Lionhead Studios,925,M,2,HIGH,3
Resident Evil 5,PS3,14,2009,Action,1,Capcom,261,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,Capcom,63,M,2,HIGH,3
The Legend of Zelda: Phantom Hourglass,DS,11,2007,Action,1,Nintendo,156,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,1264,E,1,HIGH,3
FIFA Soccer 11,PS3,14,2010,Sports,2,Electronic Arts,126,0.61,3.28,0.06,1.12,5.07,89,51,8,233,EA Sports,856,E,1,HIGH,3
Resident Evil,PS,8,1996,Action,1,Virgin Interactive,30,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,63,M,2,HIGH,3
Grand Theft Auto: Vice City Stories,PSP,1,2006,Action,1,Take Two Interactive,21,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,787,M,2,HIGH,3
Tony Hawk's Pro Skater,PS,8,1999,Sports,2,Activision,176,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,641,T,0,HIGH,3
Guitar Hero III: Legends of Rock,PS2,13,2007,Misc,7,Activision,176,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,Neversoft Entertainment BudCat,846,T,0,HIGH,3
Link's Crossbow Training,Wii,7,2007,Shooter,3,Nintendo,156,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,Nintendo,1264,T,0,HIGH,3
Fallout 3,X360,15,2008,Role-Playing,4,Bethesda Softworks,189,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,Bethesda Game Studios,121,M,2,HIGH,3
Uncharted: Drake's Fortune,PS3,14,2007,Action,1,Sony Computer Entertainment,34,2.31,1.72,0.12,0.77,4.92,88,66,8.1,2306,Naughty Dog SCE/WWS,715,T,0,HIGH,3
Madden NFL 06,PS2,13,2005,Sports,2,Electronic Arts,126,3.98,0.26,0.01,0.66,4.91,88,29,8,121,EA Sports,856,E,1,HIGH,3
StarCraft II: Wings of Liberty,PC,0,2010,Strategy,10,Activision,176,2.57,1.68,0,0.58,4.84,93,82,8.2,3052,Blizzard Entertainment,599,T,0,HIGH,3
Assassin's Creed,PS3,14,2007,Adventure,11,Ubisoft,168,1.91,2,0.09,0.82,4.82,81,40,7.3,769,Ubisoft Montreal,164,M,2,HIGH,3
God of War III,PS3,14,2010,Action,1,Sony Computer Entertainment,34,2.74,1.33,0.12,0.61,4.8,92,101,8.7,2633,SCE Santa Monica,194,M,2,HIGH,3
Crash Team Racing,PS,8,1999,Racing,5,Sony Computer Entertainment,34,2.57,1.57,0.44,0.21,4.79,88,20,9,233,Naughty Dog,12,E,1,HIGH,3
LEGO Star Wars: The Complete Saga,DS,11,2007,Action,1,LucasArts,37,2.83,1.48,0,0.45,4.76,80,9,5.4,46,TT Fusion,986,E,1,HIGH,3
Driver 2,PS,8,2000,Action,1,Atari,229,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,Reflections Interactive,800,T,0,HIGH,3
